Sample_ID,Brain,Liver,Kidney
Sample_01,0.22,0.36,0.18
Sample_02,0.81,0.63,0.45
Sample_03,0.34,0.28,0.31
Sample_04,0.72,0.74,0.52
Sample_05,0.27,0.41,0.24
Sample_06,0.88,0.57,0.61
Sample_07,0.39,0.33,0.29
Sample_08,0.69,0.82,0.48
Sample_09,0.31,0.46,0.35
Sample_10,0.76,0.68,0.56
Sample_11,0.25,0.30,0.21
Sample_12,0.91,0.79,0.66
Sample_13,0.43,0.38,0.27
Sample_14,0.64,0.59,0.49
Sample_15,0.36,0.44,0.33
Sample_16,0.83,0.71,0.58
Sample_17,0.29,0.26,0.20
Sample_18,0.71,0.76,0.54
Sample_19,0.41,0.49,0.37
Sample_20,0.79,0.62,0.63
Sample_21,0.33,0.35,0.25
Sample_22,0.86,0.84,0.60
Sample_23,0.38,0.40,0.32
Sample_24,0.74,0.67,0.51
